Dataset,Baseline Acc,PINN Acc,Improvement,p-value,Cohen's d
Liver (5-class),0.867±0.066,0.970±0.008,+10.3%,0.1572,2.18
Breast (3-class),0.633±0.076,0.797±0.029,+16.3%,0.1550,2.85
